objectid	cod_depto	depto	cod_municipio	municipio	shape_Length	shape_Area	ISO	Pais	VARNAME_1	ENGTYPE_2	TYPE_2	NAME_1	DEPARTAMENTO	MUNICIPIOS	DEPTO_MUN	Columna1	Columna2	Índice	REGION
2	1	ATLANTIDA	103	Esparta	1.497917235	0.0388409	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	ESPARTA	ATLANTIDA,ESPARTA			1	Nororiental
3	1	ATLANTIDA	104	Jutiapa	1.035750539	0.044912797	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	JUTIAPA	ATLANTIDA,JUTIAPA			2	Nororiental
4	1	ATLANTIDA	105	La Masica	1.296318523	0.039500459	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	LA MASICA	ATLANTIDA,LA MASICA			3	Nororiental
5	1	ATLANTIDA	106	San Francisco	0.975459366	0.023811052	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	SAN FRANCISCO	ATLANTIDA,SAN FRANCISCO			4	Nororiental
6	1	ATLANTIDA	108	Arizona	1.513012547	0.044767193	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	ARIZONA	ATLANTIDA,ARIZONA			5	Nororiental
7	2	COLON	201	Trujillo	2.033618265	0.080614554	HND	Honduras		Municipality	Municipio	COLON	COLON	TRUJILLO	COLON,TRUJILLO			6	Nororiental
8	2	COLON	202	Balfate	0.946241542	0.028093052	HND	Honduras		Municipality	Municipio	COLON	COLON	BALFATE	COLON,BALFATE			7	Nororiental
9	2	COLON	204	Limón	1.179549958	0.051904609	HND	Honduras		Municipality	Municipio	COLON	COLON	LIMON	COLON,LIMON			8	Nororiental
10	2	COLON	205	Sabá	1.027408686	0.031252983	HND	Honduras		Municipality	Municipio	COLON	COLON	SABA	COLON,SABA			9	Nororiental
11	2	COLON	206	Santa Fe	0.629041574	0.017548728	HND	Honduras		Municipality	Municipio	COLON	COLON	SANTA FE	COLON,SANTA FE			10	Nororiental
12	2	COLON	207	Santa Rosa de Aguán	0.521731961	0.011489139	HND	Honduras		Municipality	Municipio	COLON	COLON	SANTA ROSA DE AGUAN	COLON,SANTA ROSA DE AGUAN			11	Nororiental
13	2	COLON	208	Sonaguera	0.921448285	0.033966329	HND	Honduras		Municipality	Municipio	COLON	COLON	SONAGUERA	COLON,SONAGUERA			12	Nororiental
14	2	COLON	209	Tocoa	1.452363105	0.074842005	HND	Honduras		Municipality	Municipio	COLON	COLON	TOCOA	COLON,TOCOA			13	Nororiental
15	2	COLON	210	Bonito Oriental	1.244599867	0.042961723	HND	Honduras		Municipality	Municipio	COLON	COLON	BONITO ORIENTAL	COLON,BONITO ORIENTAL			14	Nororiental
16	3	COMAYAGUA	311	Minas de Oro	1.186427494	0.03299646	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	MINAS DE ORO	COMAYAGUA,MINAS DE ORO			15	Centro Occidental
17	3	COMAYAGUA	312	Ojos de Agua	0.727868072	0.014468827	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	OJOS DE AGUA	COMAYAGUA,OJOS DE AGUA			16	Centro Occidental
