pais,_id,anio_aprobacion,sector_institucional,monto_bruto_usd,cantidad_aprobaciones,origen
Costa Rica,1,2012,Sector Privado,3000000.0,1,prestamos
Argentina,2,2022,Sector Público,115000000.0,4,prestamos
Argentina,3,2015,Sector Público,50000000.0,1,prestamos
Argentina,4,2017,Sector Público,30000000.0,1,prestamos
Costa Rica,5,2003,Sector Privado,54336000.0,12,prestamos
Belice,6,2014,Sector Público,30000000.0,1,prestamos
Belice,7,2009,Sector Público,1905800.0,1,prestamos
Colombia,8,2008,Sector Privado,5000000.0,1,prestamos
Costa Rica,9,1965,Sector Privado,1284100.0,4,prestamos
Costa Rica,10,1981,Sector Privado,2771000.0,4,prestamos
Costa Rica,11,1986,Sector Público,3000000.0,1,prestamos
Costa Rica,12,1985,Sector Público,6600000.0,2,prestamos
Argentina,13,2021,Sector Público,150000000.0,3,prestamos
Costa Rica,14,1963,Sector Privado,62000.0,2,prestamos
Costa Rica,15,1969,Sector Privado,604600.0,6,prestamos
Costa Rica,16,1978,Sector Privado,7735000.0,5,prestamos
Argentina,17,2023,Sector Público,625000000.0,3,prestamos
Argentina,18,2016,Sector Público,90000000.0,2,prestamos
Costa Rica,19,1967,Sector Privado,1164600.0,5,prestamos
Costa Rica,20,1994,Sector Privado,78026000.0,31,prestamos
Costa Rica,21,1976,Sector Privado,4439000.0,5,prestamos
Costa Rica,22,1971,Sector Privado,2816075.0,9,prestamos
Colombia,23,2005,Sector Público,71120000.0,2,prestamos
Costa Rica,24,1968,Sector Privado,761000.0,3,prestamos
Costa Rica,25,1999,Sector Privado,18809037.0,5,prestamos
Argentina,26,2018,Sector Público,32000000.0,1,prestamos
Costa Rica,27,1974,Sector Privado,9478100.0,11,prestamos
Costa Rica,28,2013,Sector Privado,34775000.0,4,prestamos
Costa Rica,29,1992,Sector Privado,9200145.0,7,prestamos
Costa Rica,30,1989,Sector Público,38000000.0,4,prestamos
Costa Rica,31,1995,Sector Privado,40150000.0,16,prestamos
Costa Rica,32,2000,Sector Privado,38630000.0,7,prestamos
Colombia,33,2011,Sector Público,50000000.0,1,prestamos
Costa Rica,34,1991,Sector Privado,4200000.0,1,prestamos
Costa Rica,35,1988,Sector Público,23000000.0,5,prestamos
Costa Rica,36,1973,Sector Privado,8680000.0,11,prestamos
Argentina,37,2024,Sector Público,230000000.0,1,prestamos
Costa Rica,38,1990,Sector Público,28375000.0,4,prestamos
Costa Rica,39,1977,Sector Privado,2000000.0,1,prestamos
Argentina,40,2019,Sector Público,67000000.0,1,prestamos
Costa Rica,41,1982,Sector Privado,8500000.0,1,prestamos
Colombia,42,2007,Sector Privado,136948000.0,1,prestamos
Argentina,43,2025,Sector Público,100000000.0,1,prestamos
Costa Rica,44,2012,Sector Público,350000000.0,4,prestamos
Belice,45,2022,Sector Público,24000000.0,1,prestamos
Colombia,46,2015,Sector Público,136000000.0,1,prestamos
Colombia,47,2017,Sector Público,50000000.0,1,prestamos
Costa Rica,48,2003,Sector Público,118330255.46000001,3,prestamos
Colombia,49,2014,Sector Público,50000000.0,1,prestamos
Costa Rica,50,1975,Sector Privado,5828000.0,4,prestamos
