pais,_id,anio_aprobacion,sector_institucional,descripcion_proyecto,monto_bruto_usd,origen
Costa Rica,1,1974,Sector Público,Proyecto de Instalación de un Centro de Enseñanza de la Tecnología y Ciencias Conexas,2000000.0,prestamos_sector_publico
Colombia,2,2014,Sector Público,LGC - Financiera de Desarrollo Territorial,50000000.0,prestamos_sector_publico
Costa Rica,3,1973,Sector Público,Construcción de Subestaciones Patio de Maniobras Líneas de Transmisión Redes de Distribución Ingeniería Mantenimiento e Imprevistos para la Segunta Etapa del Proyecto de Expansión de la Planta,1000000.0,prestamos_sector_publico
Colombia,4,2017,Sector Público,LGC Financiera de Desarrollo Nacional  S.A. (FDN),50000000.0,prestamos_sector_publico
Argentina,5,2022,Sector Público,Programa de Fortalecimiento Tecnológico del Registro Nacional de las Personas y de la Dirección Nacional de Migraciones,25000000.0,prestamos_sector_publico
Costa Rica,6,1971,Sector Público,Financiar los Estudios de Factibilidad Económica Ingeniería Preliminar y Diseño Final Incluyendo Planos Presupuestos y Especificaciones de Construcción de la Carretera de Tilarán - Puerto Viejo,400000.0,prestamos_sector_publico
Costa Rica,7,1968,Sector Público,Adquisición de Equipo y Materiales y Gastos de Instalación para la Reconstrucción y Ampliación de las Líneas de Distribución de Energía Eléctrica,640000.0,prestamos_sector_publico
Costa Rica,8,1975,Sector Público,Proyecto de Emergencia para Incrementar la Capacidad de Almacenamiento Secado Pelado y Manejo de Granos Básicos en la República de Costa Rica,2700000.0,prestamos_sector_publico
Argentina,9,2021,Sector Público,Programa Piloto para la Transformación Digital de las PYMES Argentinas,50000000.0,prestamos_sector_publico
Argentina,10,2016,Sector Público,Programa Integral de Hábitat,60000000.0,prestamos_sector_publico
Costa Rica,11,1974,Sector Público,Ampliación y Mejoramiento del Aeropuerto Internacional Juan Santamaría la Cual Incluye Pistas de Aterrizaje y Rodaje Zonas de Estacionamiento de Aviones Equipo de Iluminación y de Señalamiento,2200000.0,prestamos_sector_publico
Costa Rica,12,1964,Sector Público,Financiar Estudios de Factibilidad del Programa de Almacenamiento y Conservación de Granos Básicos (Maíz Arroz Frijol y Sorgo),60000.0,prestamos_sector_publico
Costa Rica,13,1976,Sector Público,Mejoramiento Construcción y Puesta en Operación de un Sistema de Riego y Drenaje en la Cuenca del Río Itiquís,1365000.0,prestamos_sector_publico
Argentina,14,2020,Sector Público,Programa de Fortalecimiento Infraestructura Salud para Unidades Penitenciarias y Unidades Sanitarias Frontera,50000000.0,prestamos_sector_publico
Costa Rica,15,1976,Sector Público,Financiar Complementariamente la Capitalización de la Editorial Universitaria Centroamericana (Educa) Necesaria para Realizar su Programa de Edición de Libros,100000.0,prestamos_sector_publico
Colombia,16,2023,Sector Público,OPD para el apoyo a la acción climática  transición energética justa y fortalecimiento fiscal verde,250000000.0,prestamos_sector_publico
Belice,17,2010,Sector Público,Proyecto Mejoramiento y Rehabilitación Carretera Sur Tramo Dump - Jalacté,4500000.0,prestamos_sector_publico
Argentina,18,2019,Sector Público,Programa de Mejora del Acceso y la Calidad Educativa,67000000.0,prestamos_sector_publico
Costa Rica,19,1969,Sector Público,Reconstrucción del Tramo Arizona Peñas Blancas de la Carretera Interamericana (CA1),1600000.0,prestamos_sector_publico
Costa Rica,20,1969,Sector Público,Reconstrucción de 157 Kilometros del Tramo de la CA1 Arizona Peñas Blancas,1800000.0,prestamos_sector_publico
Costa Rica,21,1968,Sector Público,Estudios Finales de 117 Kilómetros de la Carretera Costanera Sur,500000.0,prestamos_sector_publico
Colombia,22,2015,Sector Público,Proyecto Concesión Alto Magdalena Corredor Vial Honda - Puerto - Salgar - Girardot,136000000.0,prestamos_sector_publico
Argentina,23,2017,Sector Público,Programa de Apoyo a la Estrategia de Ampliación de Cobertura y Acceso a la Educación Inicial (PROCEI),30000000.0,prestamos_sector_publico
Costa Rica,24,1989,Sector Público,Participación por Parte del Prestatario en el Programa de Rehabilitación de la Pequeña y Mediana Industria.,1000000.0,prestamos_sector_publico
Argentina,25,2021,Sector Público,Programa de Recuperación y Desarrollo Rural Post-Emergencia,50000000.0,prestamos_sector_publico
Argentina,26,2022,Sector Público,Programa de Apoyo al Plan Nacional  Argentina contra el Hambre,50000000.0,prestamos_sector_publico
Costa Rica,27,1974,Sector Público,Financiar los Estudios Diseños y Planos de la Carretera de Circunvalación de San José,600000.0,prestamos_sector_publico
Costa Rica,28,1975,Sector Público,Construcción Incluyendo Gastos de Supervisión Externa e Imprevistos del Nuevo Edificio para la Central Telefónica de la Ciudad de San José República de Costa Rica,850000.0,prestamos_sector_publico
Costa Rica,29,1969,Sector Público,Estudios de Factibilidad Económica Ingeniería Preliminar y Diseño Final Incluyendo Planos Presupuestos y Especificaciones de Construcción de la Carretera Naranjo - San Carlos - Los Chiles,600000.0,prestamos_sector_publico
Costa Rica,30,1969,Sector Público,Financiamiento de  Viviendas Construidas con Recursos del Banco Vendedor Mediante la Compra de Bonos por Hasta un 80% del Saldo de las Hipotecas Sobre esas Viviendas,200000.0,prestamos_sector_publico
Argentina,31,2023,Sector Público,Programa de Fortalecimiento del Sistema Nacional de Comprobación Técnica de Emisiones (SNCTE),40000000.0,prestamos_sector_publico
Belice,32,2009,Sector Público,Financiamiento del Programa de Financiamiento Rural,1905800.0,prestamos_sector_publico
Argentina,33,2016,Sector Público,Proyecto de Gestión por Resultados en Salud para la Atención de Población Adulta Mayor en la Argentina (PROGERSA),30000000.0,prestamos_sector_publico
Argentina,34,2022,Sector Público,Programa de Inversión Social en Seguridad Ciudadana para la Provincia del Chaco,15000000.0,prestamos_sector_publico
Costa Rica,35,1974,Sector Público,Financiar los Costos de Construcción Supervisión y Consultoría de la Carretera Barranca - el Roble - Mata de Limón - Puerto de Caldera (Costanera Sur),6800000.0,prestamos_sector_publico
Costa Rica,36,1980,Sector Público,Compra de Hipotecas Y/o Títulos Hipotecarios Conforme a las Politicas del Programa de Vivienda Media Regular y Media Baja del Banco Vigentes a la Fecha de cada Desembolso.,5000000.0,prestamos_sector_publico
Costa Rica,37,1974,Sector Público,Proyecto de Carretera Terrón Colorado - Los Chiles - Frontera con Nicaragua,1000000.0,prestamos_sector_publico
Costa Rica,38,1969,Sector Público,Proyecto de Lla Arteria Regional de Telecomunicaciones en la Parte que Corresponda a la República de Costa Rica,2800000.0,prestamos_sector_publico
Argentina,39,2023,Sector Público,Proyecto de Construcción de Obras Complementarias del Gasoducto Presidente Néstor Kirchner,185000000.0,prestamos_sector_publico
Costa Rica,40,1993,Sector Público,Proyecto Destinado a Personas Discapacitadas para su Eventual Incorporación al Proceso Productivo,1000000.0,prestamos_sector_publico
Costa Rica,41,1967,Sector Público,Estudios de Factibilidad y Diseños Preliminares de Ingeniería para la Ubicación de un Puerto en el Atlántico en las Bahías de Moín o de Cieneguita y la Ampliación del Actual Puerto de Puntarenas,190000.0,prestamos_sector_publico
Costa Rica,42,1974,Sector Público,Proyecto Consistente en la Instalación de una Planta Alúmina en Aluminio,100000.0,prestamos_sector_publico
Costa Rica,43,1967,Sector Público,Financiamiento Parcial de la Construcción de la Carretera CA1 Entre el Coco y San Ramón,5800000.0,prestamos_sector_publico
Costa Rica,44,1976,Sector Público,Financiar Monto Total o Parcial de las Cuotas de los Gobiernos Centroamericanos Vencidas y No Pagadas al Deudor con el Objeto de Atender Situaciones Temporales de Iliquidez del Deudor y Evitar Demoras en la Ejecución de Sus Programas.,100000.0,prestamos_sector_publico
