anio_aprobacion,total_monto_usd,total_aprobaciones
1961,275000.0,1
1962,3238200.0,11
1963,11104848.57,35
1964,17096093.0,30
1965,20638447.0,45
1966,46481720.0,53
1967,26600880.0,33
1968,36724214.0,39
1969,52652523.0,68
1970,45862120.0,60
1971,50164990.14,78
1972,57105394.0,65
1973,104429948.0,72
1974,126542100.0,90
1975,165067089.0,77
1976,139473200.0,51
1977,97788000.0,40
1978,191966000.0,58
1979,163656600.0,50
1980,242215788.0,65
1981,140512650.0,42
1982,133394000.0,23
1983,44942200.0,11
1984,24550000.0,5
1985,25730000.0,6
1986,33075000.0,9
1987,126298300.0,28
1988,77340000.0,19
1989,109749000.0,20
1990,198765600.0,27
1991,170900000.0,21
1992,272279924.0,62
1993,402409500.0,107
1994,566354451.0,143
1995,393003864.0,104
1996,581877854.0,106
1997,549606673.0,69
1998,951803500.0,92
1999,336476815.0,40
2000,327582456.0,32
2001,584575116.0,49
2002,727160246.69,70
2003,703311558.9300001,83
2004,726858537.0,71
2005,1812309292.0800002,91
2006,2097300274.05,121
2007,2489048480.33,112
2008,1453199879.0,79
2009,1255280610.95,39
2010,1519111413.0,52
2011,1629558158.8,36
2012,1564232673.33,31
2013,1384281773.0,27
2014,1601371811.73,33
2015,1856426325.97,32
2016,2105583919.8200002,26
2017,1925747582.25,24
2018,2443361353.7,24
2019,2637649207.48,21
2020,3459054987.95,26
2021,3689869379.17,28
2022,4290000000.0,29
2023,3587714522.14,16
2024,2229200000.0,12
2025,2328087479.0,16
