pais,producto,_id,anio_aprobacion,fondo,modalidad,monto_bruto_usd,cantidad,origen
Costa Rica,Ayuda de Emergencia y por Desastres Naturales,1,2010,Fondos Ordinarios,No Reembolsable,200000.0,1,cooperacion
El Salvador,Ayuda de Emergencia y por Desastres Naturales,2,2010,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Honduras,Ayuda de Emergencia y por Desastres Naturales,3,2010,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Guatemala,Ayuda de Emergencia y por Desastres Naturales,4,2010,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Cuba,Ayuda de Emergencia y por Desastres Naturales,5,2020,Fondos Ordinarios,No Reembolsable,975175.88,1,cooperacion
Colombia,Ayuda de Emergencia y por Desastres Naturales,6,2010,Fondos Ordinarios,No Reembolsable,200000.0,1,cooperacion
Argentina,Ayuda de Emergencia y por Desastres Naturales,7,2013,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
República Dominicana,Ayuda de Emergencia y por Desastres Naturales,8,2010,Fondos Ordinarios,No Reembolsable,200000.0,1,cooperacion
México,Ayuda de Emergencia y por Desastres Naturales,9,2013,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Belice,Cooperación Técnica,10,2010,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,25000.0,1,cooperacion
Regional,Cooperación Técnica,11,2010,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,58004.82,1,cooperacion
Costa Rica,Cooperación Técnica,12,2011,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1251210.0,2,cooperacion
El Salvador,Cooperación Técnica,13,2010,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,296000.0,3,cooperacion
Honduras,Cooperación Técnica,14,2010,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,24960.0,1,cooperacion
Guatemala,Cooperación Técnica,15,2010,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,150000.0,1,cooperacion
Cuba,Cooperación Técnica,16,2020,KTF,No Reembolsable,333333.33,1,cooperacion
Colombia,Ayuda de Emergencia y por Desastres Naturales,17,2011,Fondos Ordinarios,No Reembolsable,200000.0,1,cooperacion
Argentina,Ayuda de Emergencia y por Desastres Naturales,18,2016,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
República Dominicana,Ayuda de Emergencia y por Desastres Naturales,19,2017,Fondos Ordinarios,No Reembolsable,200000.0,1,cooperacion
México,Ayuda de Emergencia y por Desastres Naturales,20,2017,Fondos Ordinarios,No Reembolsable,500000.0,2,cooperacion
Belice,Cooperación Técnica,21,2019,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,25000.5,1,cooperacion
Regional,Otras Cooperaciones Financieras,22,2011,Fondos Ordinarios,No Reembolsable,66020.0,1,cooperacion
Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,23,2012,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
El Salvador,Ayuda de Emergencia y por Desastres Naturales,24,2011,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Honduras,Ayuda de Emergencia y por Desastres Naturales,25,2011,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Guatemala,Ayuda de Emergencia y por Desastres Naturales,26,2011,Fondos Ordinarios,No Reembolsable,400000.0,2,cooperacion
Cuba,Ayuda de Emergencia y por Desastres Naturales,27,2022,Fondos Ordinarios,No Reembolsable,208460.0,1,cooperacion
Colombia,Ayuda de Emergencia y por Desastres Naturales,28,2017,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Argentina,Ayuda de Emergencia y por Desastres Naturales,29,2020,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
República Dominicana,Cooperación Técnica,30,2019,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,36540.0,1,cooperacion
México,Ayuda de Emergencia y por Desastres Naturales,31,2020,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Belice,Ayuda de Emergencia y por Desastres Naturales,32,2020,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Regional,Cooperación Técnica,33,2016,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1941000.0,2,cooperacion
Costa Rica,Cooperación Técnica,34,2012,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,20000.0,1,cooperacion
El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,35,2012,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,36,2011,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,37,2011,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
Cuba,Cooperación Técnica,38,2024,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,56488.06,1,cooperacion
Colombia,Ayuda de Emergencia y por Desastres Naturales,39,2020,Fondos Ordinarios,No Reembolsable,1500000.0,2,cooperacion
Argentina,Ayuda de Emergencia y por Desastres Naturales,40,2022,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
República Dominicana,Ayuda de Emergencia y por Desastres Naturales,41,2020,Fondos Ordinarios,No Reembolsable,1000000.0,1,cooperacion
México,Ayuda de Emergencia y por Desastres Naturales,42,2023,Fondos Ordinarios,No Reembolsable,500000.0,1,cooperacion
Belice,Cooperación Técnica,43,2020,KTF,No Reembolsable,333333.33,1,cooperacion
Regional,Cooperación Técnica,44,2017,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,3922308.2,4,cooperacion
Costa Rica,Cooperación Técnica,45,2012,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1291210.0,3,cooperacion
El Salvador,Cooperación Técnica,46,2012,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,850000.0,2,cooperacion
Honduras,Cooperación Técnica,47,2011,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,25000.0,1,cooperacion
Guatemala,Cooperación Técnica,48,2011,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1000000.0,1,cooperacion
Cuba,Ayuda de Emergencia y por Desastres Naturales,49,2025,Fondos Ordinarios,No Reembolsable,250000.0,1,cooperacion
Colombia,Cooperación Técnica,50,2020,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,1,cooperacion
Argentina,Cooperación Técnica,51,2022,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,1,cooperacion
República Dominicana,Cooperación Técnica,52,2020,KTF,No Reembolsable,391666.66,2,cooperacion
