anio_aprobacion,socio,monto_total_usd_aprobados,cantidad_total_aprobados,origen
2010,Desconocido,58004.82,1,cooperacion
2010,Extraregional,200000.0,1,cooperacion
2010,Fundador,2185560.0,11,cooperacion
2010,Regional No Fundador,425000.0,3,cooperacion
2011,Desconocido,66020.0,1,cooperacion
2011,Extraregional,200000.0,1,cooperacion
2011,Fundador,16653038.0,21,cooperacion
2012,Fundador,8897865.89,16,cooperacion
2012,Regional No Fundador,250000.0,1,cooperacion
2013,Extraregional,500000.0,2,cooperacion
2013,Fundador,3726294.0700000003,5,cooperacion
2013,Regional No Fundador,270000.0,1,cooperacion
2014,Desconocido,82040.0,1,cooperacion
2014,Fundador,795100.0,5,cooperacion
2015,Fundador,7377612.2,21,cooperacion
2016,Desconocido,2103420.9,5,cooperacion
2016,Extraregional,250000.0,1,cooperacion
2016,Fundador,4140523.8,21,cooperacion
2017,Desconocido,3922308.2,4,cooperacion
2017,Extraregional,750000.0,3,cooperacion
2017,Fundador,3337453.0,13,cooperacion
2017,Regional No Fundador,200000.0,1,cooperacion
2018,Desconocido,125475.0,1,cooperacion
2018,Fundador,13007924.370000001,16,cooperacion
2019,Desconocido,1584310.8,9,cooperacion
2019,Fundador,2747621.4,17,cooperacion
2019,Regional No Fundador,61540.5,2,cooperacion
2020,Desconocido,7565740.75,16,cooperacion
2020,Extraregional,4908259.21,7,cooperacion
2020,Fundador,15604765.95,46,cooperacion
2020,Regional No Fundador,4616666.65,9,cooperacion
2021,Desconocido,3353963.75,13,cooperacion
2021,Fundador,17681720.54,38,cooperacion
2021,Regional No Fundador,12161148.0,23,cooperacion
2022,Desconocido,2161345.0,10,cooperacion
2022,Extraregional,1106526.9,7,cooperacion
2022,Fundador,11059714.95,33,cooperacion
2022,Regional No Fundador,12494625.0,16,cooperacion
2023,Desconocido,2545275.0,9,cooperacion
2023,Extraregional,599750.0,2,cooperacion
2023,Fundador,17208392.21,32,cooperacion
2023,Regional No Fundador,5245146.47,14,cooperacion
2024,Desconocido,2565396.8,7,cooperacion
2024,Extraregional,56488.06,1,cooperacion
2024,Fundador,14737493.5,19,cooperacion
2024,Regional No Fundador,3779550.45,12,cooperacion
2025,Desconocido,431241.62,3,cooperacion
2025,Extraregional,449494.75,3,cooperacion
2025,Fundador,1289050.0,10,cooperacion
2025,Regional No Fundador,1458826.85,5,cooperacion
