anio_aprobacion,socio,monto_total_usd_aprobados,cantidad_total_aprobados,origen
1961,Fundadores,275000.0,1,prestamos
1962,Fundadores,3238200.0,11,prestamos
1963,Fundadores,11104848.57,35,prestamos
1964,Fundadores,17096093.0,30,prestamos
1965,Fundadores,20638447.0,45,prestamos
1966,Fundadores,46481720.0,53,prestamos
1967,Fundadores,26600880.0,33,prestamos
1968,Fundadores,36724214.0,39,prestamos
1969,Fundadores,52652523.0,68,prestamos
1970,Fundadores,45862120.0,60,prestamos
1971,Fundadores,50164990.14,78,prestamos
1972,Fundadores,57105394.0,65,prestamos
1973,Fundadores,104429948.0,72,prestamos
1974,Fundadores,126542100.0,90,prestamos
1975,Fundadores,165067089.0,77,prestamos
1976,Fundadores,139473200.0,51,prestamos
1977,Fundadores,97788000.0,40,prestamos
1978,Fundadores,191966000.0,58,prestamos
1979,Fundadores,163656600.0,50,prestamos
1980,Fundadores,242215788.0,65,prestamos
1981,Fundadores,140512650.0,42,prestamos
1982,Fundadores,133394000.0,23,prestamos
1983,Fundadores,44942200.0,11,prestamos
1984,Fundadores,24550000.0,5,prestamos
1985,Fundadores,25730000.0,6,prestamos
1986,Fundadores,33075000.0,9,prestamos
1987,Fundadores,126298300.0,28,prestamos
1988,Fundadores,77340000.0,19,prestamos
1989,Fundadores,109749000.0,20,prestamos
1990,Fundadores,198765600.0,27,prestamos
1991,Fundadores,170900000.0,21,prestamos
1992,Fundadores,272279924.0,62,prestamos
1993,Fundadores,402409500.0,107,prestamos
1994,Fundadores,566354451.0,143,prestamos
1995,Fundadores,393003864.0,104,prestamos
1996,Fundadores,581877854.0,106,prestamos
1997,Fundadores,549606673.0,69,prestamos
1998,Fundadores,951803500.0,92,prestamos
1999,Fundadores,336476815.0,40,prestamos
2000,Fundadores,327582456.0,32,prestamos
2001,Fundadores,584575116.0,49,prestamos
2002,Fundadores,727160246.69,70,prestamos
2003,Fundadores,703311558.9300001,83,prestamos
2004,Fundadores,726858537.0,71,prestamos
2005,Extraregionales,71120000.0,2,prestamos
2005,Fundadores,1721189292.0800002,88,prestamos
2005,Regional No Fundadores,20000000.0,1,prestamos
2006,Fundadores,2097300274.05,121,prestamos
2007,Extraregionales,186948000.0,2,prestamos
2007,Fundadores,2136067147.0,106,prestamos
2007,Regional No Fundadores,166033333.32999998,4,prestamos
2008,Extraregionales,5000000.0,1,prestamos
2008,Fundadores,1418099879.0,77,prestamos
2008,Regional No Fundadores,30100000.0,1,prestamos
2009,Fundadores,1233374810.95,37,prestamos
2009,Regional No Fundadores,21905800.0,2,prestamos
2010,Extraregionales,35321000.0,1,prestamos
2010,Fundadores,1310332088.0,45,prestamos
2010,Regional No Fundadores,173458325.0,6,prestamos
2011,Extraregionales,50000000.0,1,prestamos
2011,Fundadores,1554558158.8,34,prestamos
2011,Regional No Fundadores,25000000.0,1,prestamos
2012,Fundadores,1564232673.33,31,prestamos
2013,Fundadores,1294081773.0,25,prestamos
2013,Regional No Fundadores,90200000.0,2,prestamos
2014,Extraregionales,50000000.0,1,prestamos
2014,Fundadores,1491371811.73,30,prestamos
2014,Regional No Fundadores,60000000.0,2,prestamos
2015,Extraregionales,186000000.0,2,prestamos
2015,Fundadores,1450426325.97,28,prestamos
2015,Regional No Fundadores,220000000.0,2,prestamos
2016,Extraregionales,240000000.0,3,prestamos
2016,Fundadores,1509583919.8200002,19,prestamos
2016,Regional No Fundadores,356000000.0,4,prestamos
2017,Extraregionales,80000000.0,2,prestamos
2017,Fundadores,1406147582.25,18,prestamos
2017,Regional No Fundadores,439600000.0,4,prestamos
2018,Extraregionales,32000000.0,1,prestamos
2018,Fundadores,1456361353.7,14,prestamos
2018,Regional No Fundadores,955000000.0,9,prestamos
2019,Extraregionales,67000000.0,1,prestamos
2019,Fundadores,2386649207.48,17,prestamos
2019,Regional No Fundadores,184000000.0,3,prestamos
2020,Extraregionales,50000000.0,1,prestamos
2020,Fundadores,2979054987.95,22,prestamos
2020,Regional No Fundadores,430000000.0,3,prestamos
2021,Extraregionales,150000000.0,3,prestamos
2021,Fundadores,3004869379.17,22,prestamos
2021,Regional No Fundadores,535000000.0,3,prestamos
2022,Extraregionales,415000000.0,6,prestamos
2022,Fundadores,3041000000.0,15,prestamos
2022,Regional No Fundadores,834000000.0,8,prestamos
2023,Extraregionales,875000000.0,4,prestamos
2023,Fundadores,1801988111.1399999,8,prestamos
2023,Regional No Fundadores,910726411.0,4,prestamos
2024,Extraregionales,230000000.0,1,prestamos
2024,Fundadores,1659200000.0,9,prestamos
2024,Regional No Fundadores,340000000.0,2,prestamos
2025,Extraregionales,175000000.0,2,prestamos
2025,Fundadores,1940000000.0,10,prestamos
2025,Regional No Fundadores,175900000.0,3,prestamos
2025,Regionales,37187479.0,1,prestamos
