Fecha,Año,Socio,País,Monto Total USD Aprobados,Cantidad Total Aprobados,Origen
1961-01-01,1961,Fundadores,Guatemala,275000.0,1,prestamos
1962-01-01,1962,Fundadores,El Salvador,1546000.0,4,prestamos
1962-01-01,1962,Fundadores,Guatemala,190000.0,2,prestamos
1962-01-01,1962,Fundadores,Honduras,565000.0,4,prestamos
1962-01-01,1962,Fundadores,Nicaragua,937200.0,1,prestamos
1963-01-01,1963,Fundadores,Costa Rica,62000.0,2,prestamos
1963-01-01,1963,Fundadores,El Salvador,2446600.0,6,prestamos
1963-01-01,1963,Fundadores,Guatemala,3434500.0,12,prestamos
1963-01-01,1963,Fundadores,Honduras,4116900.0,9,prestamos
1963-01-01,1963,Fundadores,Nicaragua,1044848.5700000001,6,prestamos
1964-01-01,1964,Fundadores,Costa Rica,2286435.0,8,prestamos
1964-01-01,1964,Fundadores,El Salvador,1722500.0,5,prestamos
1964-01-01,1964,Fundadores,Guatemala,410000.0,3,prestamos
1964-01-01,1964,Fundadores,Honduras,1307000.0,5,prestamos
1964-01-01,1964,Fundadores,Nicaragua,11370158.0,9,prestamos
1965-01-01,1965,Fundadores,Costa Rica,3284100.0,6,prestamos
1965-01-01,1965,Fundadores,El Salvador,6162700.0,9,prestamos
1965-01-01,1965,Fundadores,Guatemala,2188090.0,8,prestamos
1965-01-01,1965,Fundadores,Honduras,3061557.0,15,prestamos
1965-01-01,1965,Fundadores,Nicaragua,5942000.0,7,prestamos
1966-01-01,1966,Fundadores,Costa Rica,7818500.0,7,prestamos
1966-01-01,1966,Fundadores,El Salvador,6658400.0,9,prestamos
1966-01-01,1966,Fundadores,Guatemala,8563080.0,16,prestamos
1966-01-01,1966,Fundadores,Honduras,13994500.0,13,prestamos
1966-01-01,1966,Fundadores,Nicaragua,9447240.0,8,prestamos
1967-01-01,1967,Fundadores,Costa Rica,7154600.0,7,prestamos
1967-01-01,1967,Fundadores,El Salvador,986000.0,4,prestamos
1967-01-01,1967,Fundadores,Guatemala,6725000.0,4,prestamos
1967-01-01,1967,Fundadores,Honduras,1896980.0,7,prestamos
1967-01-01,1967,Fundadores,Nicaragua,9838300.0,11,prestamos
1968-01-01,1968,Fundadores,Costa Rica,3783000.0,8,prestamos
1968-01-01,1968,Fundadores,El Salvador,9425700.0,7,prestamos
1968-01-01,1968,Fundadores,Guatemala,7424000.0,7,prestamos
1968-01-01,1968,Fundadores,Honduras,11556800.0,13,prestamos
1968-01-01,1968,Fundadores,Nicaragua,4534714.0,4,prestamos
1969-01-01,1969,Fundadores,Costa Rica,13738600.0,16,prestamos
1969-01-01,1969,Fundadores,El Salvador,10860130.0,12,prestamos
1969-01-01,1969,Fundadores,Guatemala,7365000.0,7,prestamos
1969-01-01,1969,Fundadores,Honduras,13952900.0,18,prestamos
1969-01-01,1969,Fundadores,Nicaragua,6735893.0,15,prestamos
1970-01-01,1970,Fundadores,Costa Rica,5431100.0,6,prestamos
1970-01-01,1970,Fundadores,El Salvador,7875600.0,10,prestamos
1970-01-01,1970,Fundadores,Guatemala,2657184.0,8,prestamos
1970-01-01,1970,Fundadores,Honduras,19522000.0,24,prestamos
