_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional,socio
1,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,,Fundador
2,2010,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
3,2010,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,,Fundador
4,2010,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,,Fundador
5,2020,1.0,,Fondos Ordinarios,No Reembolsable,975175.88,cooperacion,Cuba,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
6,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
7,2013,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
8,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
9,2013,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
10,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,25000.0,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
11,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,58004.82,cooperacion,Regional,Cooperación Técnica,,Desconocido
12,2011,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1251210.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
13,2010,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,296000.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
14,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,24960.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
15,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,150000.0,cooperacion,Guatemala,Cooperación Técnica,,Fundador
16,2020,1.0,,KTF,No Reembolsable,333333.33,cooperacion,Cuba,Cooperación Técnica,,Extraregional
17,2011,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
18,2016,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
19,2017,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
20,2017,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
21,2019,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,25000.5,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
22,2011,1.0,,Fondos Ordinarios,No Reembolsable,66020.0,cooperacion,Regional,Otras Cooperaciones Financieras,,Desconocido
23,2012,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
24,2011,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
25,2011,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,,Fundador
26,2011,2.0,,Fondos Ordinarios,No Reembolsable,400000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,,Fundador
27,2022,1.0,,Fondos Ordinarios,No Reembolsable,208460.0,cooperacion,Cuba,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
28,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
29,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
30,2019,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,36540.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
31,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
32,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
33,2016,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1941000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
34,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,20000.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
35,2012,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
36,2011,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
37,2011,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
38,2024,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,56488.06,cooperacion,Cuba,Cooperación Técnica,,Extraregional
39,2020,2.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
40,2022,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
41,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
42,2023,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
43,2020,1.0,,KTF,No Reembolsable,333333.33,cooperacion,Belice,Cooperación Técnica,,Regional No Fundador
44,2017,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,3922308.2,cooperacion,Regional,Cooperación Técnica,,Desconocido
45,2012,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1291210.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
46,2012,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,850000.0,cooperacion,El Salvador,Cooperación Técnica,,Fundador
47,2011,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,25000.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
48,2011,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1000000.0,cooperacion,Guatemala,Cooperación Técnica,,Fundador
49,2025,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Cuba,Ayuda de Emergencia y por Desastres Naturales,,Extraregional
50,2020,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Colombia,Cooperación Técnica,,Extraregional
51,2022,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Argentina,Cooperación Técnica,,Extraregional
52,2020,2.0,,KTF,No Reembolsable,391666.66,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
53,2021,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
54,2018,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,125475.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
55,2013,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2275000.0,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
56,2015,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
57,2011,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,6006000.0,cooperacion,Honduras,Cooperación Técnica,,Fundador
58,2011,1.0,,FONTEC - Fondo de Cooperación Técnica,Reembolsable,198500.0,cooperacion,Guatemala,Cooperación Técnica,,Fundador
