_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional
1,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
2,2010,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
3,2010,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
4,2010,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
5,2020,1.0,,Fondos Ordinarios,No Reembolsable,975175.88,cooperacion,Cuba,Ayuda de Emergencia y por Desastres Naturales,
6,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,
7,2013,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,
8,2010,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,
9,2013,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,
10,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,25000.0,cooperacion,Belice,Cooperación Técnica,
11,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,58004.82,cooperacion,Regional,Cooperación Técnica,
12,2011,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1251210.0,cooperacion,Costa Rica,Cooperación Técnica,
13,2010,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,296000.0,cooperacion,El Salvador,Cooperación Técnica,
14,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,24960.0,cooperacion,Honduras,Cooperación Técnica,
15,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,150000.0,cooperacion,Guatemala,Cooperación Técnica,
16,2020,1.0,,KTF,No Reembolsable,333333.33,cooperacion,Cuba,Cooperación Técnica,
17,2011,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,
18,2016,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,
19,2017,1.0,,Fondos Ordinarios,No Reembolsable,200000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,
20,2017,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,
21,2019,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,25000.5,cooperacion,Belice,Cooperación Técnica,
22,2011,1.0,,Fondos Ordinarios,No Reembolsable,66020.0,cooperacion,Regional,Otras Cooperaciones Financieras,
23,2012,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,
24,2011,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
25,2011,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
26,2011,2.0,,Fondos Ordinarios,No Reembolsable,400000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
27,2022,1.0,,Fondos Ordinarios,No Reembolsable,208460.0,cooperacion,Cuba,Ayuda de Emergencia y por Desastres Naturales,
28,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,
29,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,
30,2019,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,36540.0,cooperacion,República Dominicana,Cooperación Técnica,
31,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,
32,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,
33,2016,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1941000.0,cooperacion,Regional,Cooperación Técnica,
34,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,20000.0,cooperacion,Costa Rica,Cooperación Técnica,
35,2012,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,
36,2011,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,
37,2011,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,
38,2024,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,56488.06,cooperacion,Cuba,Cooperación Técnica,
39,2020,2.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,Colombia,Ayuda de Emergencia y por Desastres Naturales,
40,2022,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Argentina,Ayuda de Emergencia y por Desastres Naturales,
41,2020,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,
42,2023,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,México,Ayuda de Emergencia y por Desastres Naturales,
43,2020,1.0,,KTF,No Reembolsable,333333.33,cooperacion,Belice,Cooperación Técnica,
44,2017,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,3922308.2,cooperacion,Regional,Cooperación Técnica,
45,2012,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1291210.0,cooperacion,Costa Rica,Cooperación Técnica,
46,2012,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,850000.0,cooperacion,El Salvador,Cooperación Técnica,
47,2011,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,25000.0,cooperacion,Honduras,Cooperación Técnica,
48,2011,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1000000.0,cooperacion,Guatemala,Cooperación Técnica,
49,2025,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Cuba,Ayuda de Emergencia y por Desastres Naturales,
50,2020,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Colombia,Cooperación Técnica,
51,2022,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Argentina,Cooperación Técnica,
52,2020,2.0,,KTF,No Reembolsable,391666.66,cooperacion,República Dominicana,Cooperación Técnica,
53,2021,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,
54,2018,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,125475.0,cooperacion,Regional,Cooperación Técnica,
55,2013,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2275000.0,cooperacion,Costa Rica,Cooperación Técnica,
56,2015,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
57,2011,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,6006000.0,cooperacion,Honduras,Cooperación Técnica,
58,2011,1.0,,FONTEC - Fondo de Cooperación Técnica,Reembolsable,198500.0,cooperacion,Guatemala,Cooperación Técnica,
59,2022,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,298978.79,cooperacion,Colombia,Cooperación Técnica,
60,2025,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Argentina,Cooperación Técnica,
61,2021,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,
62,2021,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Belice,Cooperación Técnica,
63,2019,3.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,219000.0,cooperacion,Regional,Cooperación Técnica,
64,2015,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
65,2015,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,375000.0,cooperacion,El Salvador,Cooperación Técnica,
66,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,317994.0,cooperacion,Honduras,Cooperación Técnica,
67,2012,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
68,2022,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,249338.11,cooperacion,Colombia,Cooperación Técnica,
69,2021,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Cooperación de Países Fundadores y Regionales no Fundadores,
70,2022,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,
71,2019,6.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1365310.8,cooperacion,Regional,Cooperación Técnica,
72,2015,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,
73,2016,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,
74,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,278400.0,cooperacion,Honduras,Cooperación Técnica,
75,2012,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,
76,2023,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Colombia,Cooperación Técnica,
77,2021,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,813748.0,cooperacion,República Dominicana,Cooperación Técnica,
78,2022,1.0,,KTF,No Reembolsable,950000.0,cooperacion,Belice,Cooperación Técnica,
79,2020,2.0,,Fondos Ordinarios,No Reembolsable,4400000.0,cooperacion,Regional,Ayuda de Emergencia y por Desastres Naturales,
80,2015,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,100000.0,cooperacion,Costa Rica,Cooperación Técnica,
81,2016,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,24990.0,cooperacion,El Salvador,Cooperación Técnica,
82,2014,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,5500.0,cooperacion,Honduras,Cooperación Técnica,
83,2012,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,15000.0,cooperacion,Guatemala,Cooperación Técnica,
84,2025,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99744.75,cooperacion,Colombia,Cooperación Técnica,
85,2021,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1680000.0,cooperacion,República Dominicana,Cooperación Técnica,
86,2023,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,108675.0,cooperacion,Belice,Cooperación Técnica,
87,2020,1.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,685000.0,cooperacion,Regional,Cooperación Técnica,
88,2015,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1598962.2,cooperacion,Costa Rica,Cooperación Técnica,
89,2019,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,802500.0,cooperacion,El Salvador,Cooperación Técnica,
90,2015,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
91,2013,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,9000.0,cooperacion,Guatemala,Cooperación Técnica,
92,2021,1.0,,KTF,No Reembolsable,630000.0,cooperacion,República Dominicana,Cooperación Técnica,
93,2023,1.0,,TCPT - Taiwan CABEI Partnership Trust Fund,No Reembolsable,400000.0,cooperacion,Belice,Cooperación Técnica,
94,2020,10.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1930740.75,cooperacion,Regional,Cooperación Técnica,
95,2016,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
96,2020,2.0,,Fondos Ordinarios,No Reembolsable,1500000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
97,2015,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,100000.0,cooperacion,Honduras,Cooperación Técnica,
98,2014,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
99,2022,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,
100,2023,1.0,,Fondos Ordinarios,No Reembolsable,974037.02,cooperacion,Belice,Otras Cooperaciones Financieras,
101,2020,3.0,,KTF,No Reembolsable,550000.0,cooperacion,Regional,Cooperación Técnica,
102,2016,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,101482.5,cooperacion,Costa Rica,Cooperación Técnica,
103,2020,3.0,,KTF,No Reembolsable,841666.66,cooperacion,El Salvador,Cooperación Técnica,
104,2015,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,990000.0,cooperacion,Honduras,Cooperación Técnica,
105,2015,2.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
106,2022,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,1558750.0,cooperacion,República Dominicana,Cooperación Técnica,
107,2024,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Belice,Ayuda de Emergencia y por Desastres Naturales,
108,2021,2.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,765000.0,cooperacion,Regional,Cooperación Técnica,
109,2016,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,192500.0,cooperacion,Costa Rica,Cooperación Técnica,
110,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,
111,2016,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
112,2015,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,113650.0,cooperacion,Guatemala,Cooperación Técnica,
113,2022,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,325500.0,cooperacion,República Dominicana,Cooperación Técnica,
114,2024,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Belice,Cooperación Técnica,
115,2021,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,430000.0,cooperacion,Regional,Cooperación Técnica,
116,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
117,2021,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,
118,2016,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,40740.0,cooperacion,Honduras,Cooperación Técnica,
119,2016,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,
120,2022,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,4060375.0,cooperacion,República Dominicana,Cooperación Técnica,
121,2024,1.0,,TCPT - Taiwan CABEI Partnership Trust Fund,No Reembolsable,986050.45,cooperacion,Belice,Cooperación Técnica,
122,2021,6.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1832713.75,cooperacion,Regional,Cooperación Técnica,
123,2017,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,24990.0,cooperacion,Costa Rica,Cooperación Técnica,
124,2021,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,194250.0,cooperacion,El Salvador,Cooperación Técnica,
125,2016,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,398750.0,cooperacion,Honduras,Cooperación Técnica,
126,2016,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,98811.3,cooperacion,Guatemala,Cooperación Técnica,
127,2022,3.0,,KTF,No Reembolsable,2000000.0,cooperacion,República Dominicana,Cooperación Técnica,
128,2025,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,950000.0,cooperacion,Belice,Cooperación Técnica,
129,2021,3.0,,KTF,No Reembolsable,300000.0,cooperacion,Regional,Cooperación Técnica,
130,2018,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,
131,2021,1.0,,KTF,No Reembolsable,125000.0,cooperacion,El Salvador,Cooperación Técnica,
132,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
