,Año,Socio,Monto Total USD Aprobados,Cantidad Total Aprobados,cluster,cluster_desc,cluster_hdbscan,is_noise,cluster_name
0,1961,Fundadores,275000.0,1,3,Monto muy bajo / cant. muy baja,-1,True,Ruido
1,1962,Fundadores,3238200.0,11,3,Monto muy bajo / cant. muy baja,-1,True,Ruido
2,1963,Fundadores,11104848.57,35,0,Bajo monto / cant. media-alta,0,False,Cluster 0
3,1964,Fundadores,17096093.0,30,3,Monto muy bajo / cant. muy baja,0,False,Cluster 0
4,1965,Fundadores,20638447.0,45,0,Bajo monto / cant. media-alta,0,False,Cluster 0
5,1966,Fundadores,46481720.0,53,0,Bajo monto / cant. media-alta,0,False,Cluster 0
6,1967,Fundadores,26600880.0,33,0,Bajo monto / cant. media-alta,0,False,Cluster 0
7,1968,Fundadores,36724214.0,39,0,Bajo monto / cant. media-alta,0,False,Cluster 0
8,1969,Fundadores,52652523.0,68,0,Bajo monto / cant. media-alta,0,False,Cluster 0
9,1970,Fundadores,45862120.0,60,0,Bajo monto / cant. media-alta,0,False,Cluster 0
10,1971,Fundadores,50164990.14,78,0,Bajo monto / cant. media-alta,0,False,Cluster 0
11,1972,Fundadores,57105394.0,65,0,Bajo monto / cant. media-alta,0,False,Cluster 0
12,1973,Fundadores,104429948.0,72,0,Bajo monto / cant. media-alta,1,False,Cluster 1
13,1974,Fundadores,126542100.0,90,0,Bajo monto / cant. media-alta,1,False,Cluster 1
14,1975,Fundadores,165067089.0,77,0,Bajo monto / cant. media-alta,1,False,Cluster 1
15,1976,Fundadores,139473200.0,51,0,Bajo monto / cant. media-alta,1,False,Cluster 1
16,1977,Fundadores,97788000.0,40,0,Bajo monto / cant. media-alta,1,False,Cluster 1
17,1978,Fundadores,191966000.0,58,0,Bajo monto / cant. media-alta,1,False,Cluster 1
18,1979,Fundadores,163656600.0,50,0,Bajo monto / cant. media-alta,1,False,Cluster 1
19,1980,Fundadores,242215788.0,65,0,Bajo monto / cant. media-alta,1,False,Cluster 1
20,1981,Fundadores,140512650.0,42,0,Bajo monto / cant. media-alta,1,False,Cluster 1
21,1982,Fundadores,133394000.0,23,3,Monto muy bajo / cant. muy baja,1,False,Cluster 1
22,1983,Fundadores,44942200.0,11,3,Monto muy bajo / cant. muy baja,1,False,Cluster 1
23,1984,Fundadores,24550000.0,5,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
24,1985,Fundadores,25730000.0,6,3,Monto muy bajo / cant. muy baja,-1,True,Ruido
25,1986,Fundadores,33075000.0,9,3,Monto muy bajo / cant. muy baja,-1,True,Ruido
26,1987,Fundadores,126298300.0,28,3,Monto muy bajo / cant. muy baja,1,False,Cluster 1
27,1988,Fundadores,77340000.0,19,3,Monto muy bajo / cant. muy baja,1,False,Cluster 1
28,1989,Fundadores,109749000.0,20,3,Monto muy bajo / cant. muy baja,1,False,Cluster 1
29,1990,Fundadores,198765600.0,27,3,Monto muy bajo / cant. muy baja,1,False,Cluster 1
30,1991,Fundadores,170900000.0,21,3,Monto muy bajo / cant. muy baja,1,False,Cluster 1
31,1992,Fundadores,272279924.0,62,0,Bajo monto / cant. media-alta,1,False,Cluster 1
32,1993,Fundadores,402409500.0,107,2,Monto alto / cant. muy alta,4,False,Cluster 4
33,1994,Fundadores,566354451.0,143,2,Monto alto / cant. muy alta,4,False,Cluster 4
34,1995,Fundadores,393003864.0,104,2,Monto alto / cant. muy alta,4,False,Cluster 4
