,Cantidad Total Aprobados,Monto Total USD Aprobados,cluster_dbscan
0,1,275000.0,-1
1,11,3238200.0,-1
2,35,11104848.57,0
3,30,17096093.0,0
4,45,20638447.0,0
5,53,46481720.0,0
6,33,26600880.0,0
7,39,36724214.0,0
8,68,52652523.0,0
9,60,45862120.0,0
10,78,50164990.14,0
11,65,57105394.0,0
12,72,104429948.0,1
13,90,126542100.0,1
14,77,165067089.0,1
15,51,139473200.0,1
16,40,97788000.0,1
17,58,191966000.0,1
18,50,163656600.0,1
19,65,242215788.0,1
20,42,140512650.0,1
21,23,133394000.0,1
22,11,44942200.0,2
23,5,24550000.0,2
24,6,25730000.0,2
25,9,33075000.0,2
26,28,126298300.0,1
27,19,77340000.0,1
28,20,109749000.0,1
29,27,198765600.0,1
30,21,170900000.0,1
31,62,272279924.0,1
32,107,402409500.0,3
33,143,566354451.0,3
34,104,393003864.0,3
35,106,581877854.0,3
36,69,549606673.0,3
37,92,951803500.0,3
38,40,336476815.0,1
39,32,327582456.0,1
40,49,584575116.0,3
41,70,727160246.69,3
42,83,703311558.9300001,3
43,71,726858537.0,3
44,2,71120000.0,4
45,88,1721189292.0800002,3
46,1,20000000.0,4
47,121,2097300274.05,3
48,2,186948000.0,5
49,106,2136067147.0,3
50,4,166033333.32999998,5
51,1,5000000.0,-1
52,77,1418099879.0,3
53,1,30100000.0,4
54,37,1233374810.95,6
55,2,21905800.0,4
56,1,35321000.0,4
57,45,1310332088.0,6
58,6,173458325.0,5
59,1,50000000.0,4
60,34,1554558158.8,6
61,1,25000000.0,4
62,31,1564232673.33,6
63,25,1294081773.0,6
64,2,90200000.0,4
65,1,50000000.0,4
66,30,1491371811.73,6
67,2,60000000.0,4
68,2,186000000.0,5
69,28,1450426325.97,6
70,2,220000000.0,5
71,3,240000000.0,5
72,19,1509583919.8200002,6
73,4,356000000.0,5
74,2,80000000.0,4
75,18,1406147582.25,6
76,4,439600000.0,5
77,1,32000000.0,4
78,14,1456361353.7,6
79,9,955000000.0,6
80,1,67000000.0,4
81,17,2386649207.48,6
82,3,184000000.0,5
83,1,50000000.0,4
84,22,2979054987.95,6
85,3,430000000.0,5
86,3,150000000.0,5
87,22,3004869379.17,6
88,3,535000000.0,5
89,6,415000000.0,5
90,15,3041000000.0,6
91,8,834000000.0,5
92,4,875000000.0,5
93,8,1801988111.1399999,6
94,4,910726411.0,5
95,1,230000000.0,5
96,9,1659200000.0,6
97,2,340000000.0,5
98,2,175000000.0,5
99,10,1940000000.0,6
100,3,175900000.0,5
101,1,37187479.0,4
