,Cantidad Total Aprobados,Monto Total USD Aprobados,cluster_hdbscan
0,1,275000.0,-1
1,11,3238200.0,-1
2,35,11104848.57,0
3,30,17096093.0,0
4,45,20638447.0,0
5,53,46481720.0,0
6,33,26600880.0,0
7,39,36724214.0,0
8,68,52652523.0,0
9,60,45862120.0,0
10,78,50164990.14,3
11,65,57105394.0,0
12,72,104429948.0,0
13,90,126542100.0,0
14,77,165067089.0,0
15,51,139473200.0,0
16,40,97788000.0,0
17,58,191966000.0,0
18,50,163656600.0,0
19,65,242215788.0,0
20,42,140512650.0,0
21,23,133394000.0,0
22,11,44942200.0,0
23,5,24550000.0,1
24,6,25730000.0,1
25,9,33075000.0,1
26,28,126298300.0,0
27,19,77340000.0,0
28,20,109749000.0,0
29,27,198765600.0,0
30,21,170900000.0,0
31,62,272279924.0,0
32,107,402409500.0,0
33,143,566354451.0,0
34,104,393003864.0,0
35,106,581877854.0,0
36,69,549606673.0,0
37,92,951803500.0,0
38,40,336476815.0,0
39,32,327582456.0,0
40,49,584575116.0,0
41,70,727160246.69,0
42,83,703311558.9300001,0
43,71,726858537.0,0
44,2,71120000.0,1
45,88,1721189292.0800002,0
46,1,20000000.0,1
47,121,2097300274.05,0
48,2,186948000.0,1
49,106,2136067147.0,0
50,4,166033333.32999998,1
51,1,5000000.0,1
52,77,1418099879.0,0
53,1,30100000.0,1
54,37,1233374810.95,0
55,2,21905800.0,1
56,1,35321000.0,1
57,45,1310332088.0,0
58,6,173458325.0,1
59,1,50000000.0,1
60,34,1554558158.8,0
61,1,25000000.0,1
62,31,1564232673.33,0
63,25,1294081773.0,0
64,2,90200000.0,1
65,1,50000000.0,1
66,30,1491371811.73,0
67,2,60000000.0,1
68,2,186000000.0,1
69,28,1450426325.97,0
70,2,220000000.0,1
71,3,240000000.0,1
72,19,1509583919.8200002,0
73,4,356000000.0,1
74,2,80000000.0,1
75,18,1406147582.25,0
76,4,439600000.0,1
77,1,32000000.0,1
78,14,1456361353.7,0
79,9,955000000.0,0
80,1,67000000.0,1
81,17,2386649207.48,0
82,3,184000000.0,1
83,1,50000000.0,1
84,22,2979054987.95,0
85,3,430000000.0,1
86,3,150000000.0,1
87,22,3004869379.17,0
88,3,535000000.0,1
89,6,415000000.0,1
90,15,3041000000.0,0
91,8,834000000.0,0
92,4,875000000.0,1
93,8,1801988111.1399999,0
94,4,910726411.0,1
95,1,230000000.0,1
96,9,1659200000.0,0
97,2,340000000.0,1
98,2,175000000.0,1
99,10,1940000000.0,0
100,3,175900000.0,1
101,1,37187479.0,1
