cluster_hdbscan,,n_total,pct_total,Socio,Cantidad Total Aprobados_mean,Cantidad Total Aprobados_median,Cantidad Total Aprobados_min,Cantidad Total Aprobados_max,Monto Total USD Aprobados_mean,Monto Total USD Aprobados_median,Monto Total USD Aprobados_min,Monto Total USD Aprobados_max,Año_mean,Año_median,Año_min,Año_max,cluster_mean,cluster_median,cluster_min,cluster_max
-1,socio_mayoritario,5,4.901960784313726,Fundadores,,,,,,,,,,,,,,,,
-1,socio_mayoritario_pct,5,4.901960784313726,80.0,,,,,,,,,,,,,,,,
-1,top_socios,5,4.901960784313726,Fundadores:4; Extraregionales:1,,,,,,,,,,,,,,,,
0,socio_mayoritario,10,9.803921568627452,Fundadores,50.6,49.0,30.0,78.0,36443122.971,41293167.0,11104848.57,57105394.0,1967.5,1967.5,1963,1972,0.3,0.0,0.0,3.0
0,socio_mayoritario_pct,10,9.803921568627452,100.0,50.6,49.0,30.0,78.0,36443122.971,41293167.0,11104848.57,57105394.0,1967.5,1967.5,1963,1972,0.3,0.0,0.0,3.0
0,top_socios,10,9.803921568627452,Fundadores:10,50.6,49.0,30.0,78.0,36443122.971,41293167.0,11104848.57,57105394.0,1967.5,1967.5,1963,1972,0.3,0.0,0.0,3.0
1,socio_mayoritario,19,18.627450980392158,Fundadores,43.578947368421055,40.0,11.0,90.0,166809456.31578946,140512650.0,44942200.0,336476815.0,1983.8947368421052,1982.0,1973,2000,1.105263157894737,0.0,0.0,3.0
1,socio_mayoritario_pct,19,18.627450980392158,100.0,43.578947368421055,40.0,11.0,90.0,166809456.31578946,140512650.0,44942200.0,336476815.0,1983.8947368421052,1982.0,1973,2000,1.105263157894737,0.0,0.0,3.0
1,top_socios,19,18.627450980392158,Fundadores:19,43.578947368421055,40.0,11.0,90.0,166809456.31578946,140512650.0,44942200.0,336476815.0,1983.8947368421052,1982.0,1973,2000,1.105263157894737,0.0,0.0,3.0
2,socio_mayoritario,16,15.686274509803921,Extraregionales,1.5625,1.0,1.0,5.0,46524017.4375,43593739.5,20000000.0,90200000.0,2011.4375,2012.0,1984,2025,3.0,3.0,3.0,3.0
2,socio_mayoritario_pct,16,15.686274509803921,50.0,1.5625,1.0,1.0,5.0,46524017.4375,43593739.5,20000000.0,90200000.0,2011.4375,2012.0,1984,2025,3.0,3.0,3.0,3.0
2,top_socios,16,15.686274509803921,Extraregionales:8; Regional No Fundadores:6; Fundadores:1; Regionales:1,1.5625,1.0,1.0,5.0,46524017.4375,43593739.5,20000000.0,90200000.0,2011.4375,2012.0,1984,2025,3.0,3.0,3.0,3.0
3,socio_mayoritario,19,18.627450980392158,Regional No Fundadores,3.210526315789474,3.0,1.0,6.0,336245582.5963158,230000000.0,150000000.0,910726411.0,2018.421052631579,2020.0,2007,2025,2.789473684210526,3.0,1.0,3.0
3,socio_mayoritario_pct,19,18.627450980392158,57.89473684210527,3.210526315789474,3.0,1.0,6.0,336245582.5963158,230000000.0,150000000.0,910726411.0,2018.421052631579,2020.0,2007,2025,2.789473684210526,3.0,1.0,3.0
3,top_socios,19,18.627450980392158,Regional No Fundadores:11; Extraregionales:8,3.210526315789474,3.0,1.0,6.0,336245582.5963158,230000000.0,150000000.0,910726411.0,2018.421052631579,2020.0,2007,2025,2.789473684210526,3.0,1.0,3.0
4,socio_mayoritario,14,13.725490196078432,Fundadores,91.85714285714286,90.0,49.0,143.0,968544135.1964285,715085047.965,393003864.0,2136067147.0,2000.642857142857,2001.5,1993,2008,1.4285714285714286,2.0,0.0,2.0
4,socio_mayoritario_pct,14,13.725490196078432,100.0,91.85714285714286,90.0,49.0,143.0,968544135.1964285,715085047.965,393003864.0,2136067147.0,2000.642857142857,2001.5,1993,2008,1.4285714285714286,2.0,0.0,2.0
4,top_socios,14,13.725490196078432,Fundadores:14,91.85714285714286,90.0,49.0,143.0,968544135.1964285,715085047.965,393003864.0,2136067147.0,2000.642857142857,2001.5,1993,2008,1.4285714285714286,2.0,0.0,2.0
5,socio_mayoritario,19,18.627450980392158,Fundadores,21.105263157894736,19.0,8.0,45.0,1730117483.3310528,1509583919.8200002,834000000.0,3041000000.0,2017.3157894736842,2018.0,2009,2025,1.631578947368421,1.0,1.0,4.0
5,socio_mayoritario_pct,19,18.627450980392158,89.47368421052632,21.105263157894736,19.0,8.0,45.0,1730117483.3310528,1509583919.8200002,834000000.0,3041000000.0,2017.3157894736842,2018.0,2009,2025,1.631578947368421,1.0,1.0,4.0
5,top_socios,19,18.627450980392158,Fundadores:17; Regional No Fundadores:2,21.105263157894736,19.0,8.0,45.0,1730117483.3310528,1509583919.8200002,834000000.0,3041000000.0,2017.3157894736842,2018.0,2009,2025,1.631578947368421,1.0,1.0,4.0
